station_id,metro_trips,Motivo no Destino e Zona de Origem -  residencia ,empregos,Viagens Diárias Atraídas por Motivo e Zona de Destino –Refeição,emprego Creditícios Financeiro,Funcionário Público,Viagens Diárias Atraídas por Motivo no Destino e Zona de Destino - residencia ,Viagens Diárias Atraídas por Motivo e Zona de Destino – Lazer,emprego servicos -  Administração Pública,Viagens Diárias Atraídas por Motivo e Zona de Destino –assuntos Pessoais,renda até 2.640
57,21848.62618563553,40383.42022618954,24737.918319921086,464.55789745822676,1726.856879985668,700.7275247998298,9828.901479720207,2076.0922193784777,718.7872612106669,2874.4672717086537,428.87855370844824
58,148931.16598781713,127638.97097364897,87942.25729942381,7311.926853493492,4725.645665805189,16518.498885288405,48553.40010352657,6881.209093328467,18841.725441771923,15537.175621721204,10805.010688058017
59,109189.33173271031,99953.59307571374,75895.59222483764,3532.474601149196,3735.408876588919,5510.142606909117,28216.559471581782,3386.057520082757,7574.678026837115,5968.813859247516,6846.882805312714
60,80684.45619800966,84281.53318832547,64192.81630895375,2013.8851910149042,3831.460379964881,1034.844972055959,52609.36370659505,8164.171455335888,1411.687693891039,5192.614856674746,506.5496051648928
61,28728.085416917755,49397.18625136411,35702.638418913724,1588.9758359886123,1530.226016917106,902.372164463789,26500.43099953035,3208.2989863745934,251.81414239433846,3143.0860450898685,179.52928254347913
63,13048.156683119596,21862.190791331366,11354.774561316723,6.025609884664382,163.3791889797269,242.6247932371252,25314.232069379803,1713.6923995595723,118.5463370897278,2073.2216038868214,3596.115546880048
65,49919.32879217345,64402.552190353046,51163.72855050142,2039.987638499117,3016.9362809971776,4392.460996308227,22947.093749323547,5213.505019475546,687.2468052259404,3186.5354888144316,363.51696357982007
66,83768.93642844993,89504.92808776858,53190.18238776045,2812.259979998495,7267.202367887833,1090.5684957995936,18514.18394124061,5290.390543051535,1337.478956503774,10435.589572196772,1127.738754794808
67,11410.99601176747,16762.35359410197,8583.747539437027,83.65691146292787,288.1327994356793,282.64158155936826,20254.300020756524,2852.1539842055868,199.9429416614241,2064.457005538361,1924.1331312431032
68,98414.7692259429,94669.8546276015,66151.38363075188,1393.4325399374006,2861.220273363412,1342.4146454130234,34635.727088166306,7311.485286882643,520.6086104436241,4158.881678815322,1619.1974664851682
69,12760.77612476171,17184.915629344785,10952.105560984497,235.8465572894768,450.27999917130603,305.9476606452834,21223.28077882219,1082.6006849246794,0.0,2299.9660068031817,3994.371840014594
70,150396.5385260172,161480.47040855628,129066.38405292341,8623.03616002281,17843.086337858556,5119.54700357568,29890.733193859,11078.853589650904,2579.800856624517,8346.241260786555,741.7457024105063
71,91796.54513136524,90464.98873438236,66501.12734382895,3742.490345507883,4264.271516291242,8533.9244593813,26603.953460779627,2720.8782565062124,10869.737662072856,7904.843481020218,4805.428145789928
72,8881.732096813254,23908.41119242299,13929.84528435398,251.9873965387971,98.60794423043389,120.58620819856881,15431.346758495023,2334.2324749821837,85.76278533116826,2483.6039206276487,2888.8788046917234
74,41015.21855812275,56808.389958766726,48272.65617358357,2790.6136999874398,7088.476943670709,704.2152089292039,8978.638061779418,4674.392796465024,1147.9389332489966,4779.615622366823,311.5987381149614
75,22781.612584644077,31316.100243996676,18682.0435638918,160.3930802651999,20.518301384543392,478.7959499084183,3396.5681298723593,2763.288577300663,551.6887248393084,4029.5402368904683,1025.9384483886522
76,39486.89213751393,37992.28984531465,24964.936507468214,1226.064377702292,954.5672653714099,616.6598477891777,35222.39304764357,5026.2215983167125,792.0955367530969,6542.227209752242,2079.684158729413
78,204424.46891729714,183628.35460733523,144163.96038421136,9892.725455021897,10633.34199833801,14028.033804640241,46946.209282915166,11447.025323760667,14970.678520691585,17945.202070519787,5451.106033885652
79,15440.378149700393,34905.54976951388,20709.95622199228,1436.3296108397585,240.06199354208752,579.9182764075578,22569.206375493828,4689.0333933969105,47.12176121697593,3891.9607779256276,2773.595261001544
80,130553.55251611069,131831.06558878097,100758.97330142451,5315.164460663069,7965.893685918847,5335.233371853469,52356.769383210376,9293.855763112128,4958.684666936301,10101.997142363307,2434.6356513673745
82,59150.513031573966,66106.51503531731,39989.17406223512,3512.7156503038104,958.2848552807529,1826.7473478393586,25297.310100645755,5400.300015485476,1183.6819597042388,5258.845531762735,890.443818239356
85,12814.848795779199,25460.561812579515,15370.518813843311,256.122493335671,707.4250704208958,371.2683441388309,25315.237479193067,1978.44946443477,197.25332750916687,2239.6945246466626,5193.022154654707
86,30852.60461057054,36702.01195515582,21021.541861881604,1432.5741443791223,406.98107909009514,308.6727665676534,24058.78979352296,4385.8375531437305,203.15812551338155,2741.7443734373624,1239.9770190659647
87,33064.57940620381,48951.602950940265,35999.32079592035,1380.669787105087,977.1965869492368,3342.3496200497157,20850.803205373562,4439.492488447466,567.539302284281,3266.4519220766597,287.49456801565236
